year,region,species_code,sex,sex_desc,iss,nss,nhl
1993,wcgoa,10130,1,male,26.59295530609599,118,25
1993,wcgoa,10130,2,female,41.6990191701241,157,28
1993,wcgoa,10130,4,total_post,63.86515660812215,276,34
1993,wcgoa,10130,12,female_male,68.39830617878354,275,34
1993,wcgoa,10180,0,total_pre,59.42882869906817,218,31
1993,wcgoa,10180,1,male,23.820771262595425,93,19
1993,wcgoa,10180,2,female,32.18106140312006,125,27
1993,wcgoa,10180,4,total_post,51.51149050033129,218,31
1993,wcgoa,10180,12,female_male,57.232507487764714,218,31
1993,wcgoa,10200,0,total_pre,55.94569005882086,331,28
1993,wcgoa,10200,1,male,26.67319326515788,139,20
1993,wcgoa,10200,2,female,35.636216992209846,192,25
1993,wcgoa,10200,4,total_post,54.710870512596884,331,28
1993,wcgoa,10200,12,female_male,65.20278803399398,331,28
1993,wcgoa,21720,0,total_pre,134.57079650072004,785,64
1993,wcgoa,21720,1,male,73.81179957624178,357,60
1993,wcgoa,21720,2,female,101.51764318603112,428,62
1993,wcgoa,21720,4,total_post,129.565301527703,785,64
1993,wcgoa,21720,12,female_male,183.84791363146743,785,64
1993,wcgoa,21740,0,total_pre,92.45178335440634,994,43
1993,wcgoa,21740,1,male,62.38978864907189,451,41
1993,wcgoa,21740,2,female,71.05381659625345,543,37
1993,wcgoa,21740,4,total_post,88.83011241603889,994,43
1993,wcgoa,21740,12,female_male,139.03798841955842,994,43
1993,wcgoa,30050,0,total_pre,49.654869304979776,289,30
1993,wcgoa,30050,1,male,24.641284641609484,136,27
1993,wcgoa,30050,2,female,27.476836834742148,152,23
1993,wcgoa,30050,4,total_post,46.21778020444253,289,30
1993,wcgoa,30050,12,female_male,53.23522099191067,288,30
1993,wcgoa,30060,0,total_pre,69.68162959938537,464,27
1993,wcgoa,30060,1,male,41.036054611569654,235,26
1993,wcgoa,30060,2,female,40.82013825115324,223,23
1993,wcgoa,30060,4,total_post,64.87880173286811,464,27
1993,wcgoa,30060,12,female_male,86.25235195178435,458,27
1993,wcgoa,30420,0,total_pre,38.124778838237674,242,17
1993,wcgoa,30420,1,male,19.656026941572165,115,16
1993,wcgoa,30420,2,female,17.77919379786335,127,15
1993,wcgoa,30420,4,total_post,34.38973937663847,242,17
1993,wcgoa,30420,12,female_male,37.22361134993765,242,17
1996,egoa,10110,0,total_pre,21.59678121272952,105,17
1996,egoa,10110,1,male,10.717194479948022,40,11
1996,egoa,10110,2,female,15.050750859055873,65,16
1996,egoa,10110,4,total_post,23.24462571051942,105,17
1996,egoa,10110,12,female_male,27.537456052446952,105,17
1996,egoa,10130,0,total_pre,39.915554292184666,170,14
1996,egoa,10130,1,male,21.113757180951847,81,11
1996,egoa,10130,2,female,24.249180101174268,89,13
1996,egoa,10130,4,total_post,38.42650134269171,170,14
1996,egoa,10130,12,female_male,47.36844015610364,170,14
1996,egoa,10180,0,total_pre,46.08508945941649,220,30
1996,egoa,10180,1,male,17.969855118740217,99,24
1996,egoa,10180,2,female,30.524624216749523,121,23
1996,egoa,10180,4,total_post,42.87706059779927,220,30
1996,egoa,10180,12,female_male,46.036149989708996,220,30
1996,egoa,10200,0,total_pre,14.312235701038365,69,19
1996,egoa,10200,1,male,7.426473668953436,27,12
1996,egoa,10200,2,female,9.91698333834399,42,14
1996,egoa,10200,4,total_post,14.728824929433387,69,19
